,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
002265.SZ,西仪股份,2021-12-08 09:30:00,10.02979146,10.029791459781526,2,35257000.0,20211208,True,False,10.0181,10.0082,9.9925,10.0339,9.9815
600698.SH,湖南天雁,2021-12-08 09:30:00,9.95024876,9.950248756218915,2,14124400.0,20211208,True,False,9.9548,10.0823,10.0935,10.017,-6.9444
603335.SH,迪生力,2021-12-08 09:30:00,10.04862237,10.048622366288495,2,11938953.0,20211208,True,False,10.0147,10.0402,-1.9465,10.0496,-8.23
002725.SZ,跃岭股份,2021-12-08 09:31:15,10.01177856,4.24028268551236,2,3205688.0,20211208,False,True,9.9572,10.0292,10.0,9.9759,-1.2436
603213.SH,镇洋发展,2021-12-08 09:33:30,9.99510044,2.890739833414992,2,2400293.0,20211208,False,False,-4.2316,10.0,10.0211,9.9923,-3.9133
600860.SH,京城股份,2021-12-08 09:40:15,10.0140056,5.88235294117647,5,5855760.0,20211208,False,False,9.9936,3.6458,-0.1675,10.0112,
002265.SZ,西仪股份,2021-12-09 09:30:00,10.01805054,10.01805054151624,3,26255888.0,20211209,True,False,10.0082,9.9925,10.0339,9.9815,
600698.SH,湖南天雁,2021-12-09 09:30:00,9.95475113,9.954751131221728,3,16155035.0,20211209,True,False,10.0823,10.0935,10.017,-6.9444,
603335.SH,迪生力,2021-12-09 09:30:00,10.01472754,10.014727540500733,3,4208886.0,20211209,True,False,10.0402,-1.9465,10.0496,-8.23,
002825.SZ,纳尔股份,2021-12-09 09:30:00,1.36024572,10.004387889425193,2,,20211209,True,False,3.3766,-9.6734,4.9606,-3.8869,
002725.SZ,跃岭股份,2021-12-09 09:30:30,9.95717345,4.603854389721625,3,6418741.0,20211209,False,True,10.0292,10.0,9.9759,-1.2436,
600860.SH,京城股份,2021-12-09 09:32:15,9.99363463,9.92998090388287,6,3807017.0,20211209,False,False,3.6458,-0.1675,10.0112,,
